run_id,condition,guidance_window,t_start,t_end,guidance_scale,seed,n_generated,classifier_mean_confidence,classifier_mean_loss,runtime_seconds,artifact_path,timestamp,notebook_slug,kernel_version
early_seed27,minority-early,early,0,333,3.5,27,1,0.03261008486151695,3.4231338500976562,81.61131429672241,/kaggle/working/minority-guidance/results/early_seed27/samples_1x256x256x3.npz,2026-05-18T23:49:22.451442+00:00,vittorialanzo/windowed-minority-guidance-extended,17
mid_seed27,minority-mid,mid,333,667,3.5,27,1,0.01845475099980831,3.992433547973633,84.3191487789154,/kaggle/working/minority-guidance/results/mid_seed27/samples_1x256x256x3.npz,2026-05-18T23:50:52.347311+00:00,vittorialanzo/windowed-minority-guidance-extended,17
late_seed27,minority-late,late,667,1000,3.5,27,1,0.0002894662320613861,8.147472381591797,84.02504062652588,/kaggle/working/minority-guidance/results/late_seed27/samples_1x256x256x3.npz,2026-05-18T23:52:22.133838+00:00,vittorialanzo/windowed-minority-guidance-extended,17
baseline_seed28,baseline,none,0,0,0.0,28,1,6.572658458026126e-05,9.630006790161133,77.80477809906006,/kaggle/working/minority-guidance/results/baseline_seed28/samples_1x256x256x3.npz,2026-05-18T23:53:44.813328+00:00,vittorialanzo/windowed-minority-guidance-extended,17
full_seed28,minority-full,full,0,1000,3.5,28,1,0.15076936781406403,1.8920038938522339,95.43097257614136,/kaggle/working/minority-guidance/results/full_seed28/samples_1x256x256x3.npz,2026-05-18T23:55:25.402838+00:00,vittorialanzo/windowed-minority-guidance-extended,17
early_seed28,minority-early,early,0,333,3.5,28,1,0.00013950976426713169,8.877375602722168,81.76674175262451,/kaggle/working/minority-guidance/results/early_seed28/samples_1x256x256x3.npz,2026-05-18T23:56:52.114140+00:00,vittorialanzo/windowed-minority-guidance-extended,17
mid_seed28,minority-mid,mid,333,667,3.5,28,1,2.673839480848983e-05,10.529410362243652,83.74242496490479,/kaggle/working/minority-guidance/results/mid_seed28/samples_1x256x256x3.npz,2026-05-18T23:58:21.543975+00:00,vittorialanzo/windowed-minority-guidance-extended,17
late_seed28,minority-late,late,667,1000,3.5,28,1,5.253683866612846e-06,12.156580924987793,84.32585191726685,/kaggle/working/minority-guidance/results/late_seed28/samples_1x256x256x3.npz,2026-05-18T23:59:51.590455+00:00,vittorialanzo/windowed-minority-guidance-extended,17
baseline_seed29,baseline,none,0,0,0.0,29,1,2.701978519326076e-05,10.518940925598145,77.0948977470398,/kaggle/working/minority-guidance/results/baseline_seed29/samples_1x256x256x3.npz,2026-05-19T00:01:14.217692+00:00,vittorialanzo/windowed-minority-guidance-extended,17
full_seed29,minority-full,full,0,1000,3.5,29,1,0.5759550929069519,0.5517255663871765,97.04989528656006,/kaggle/working/minority-guidance/results/full_seed29/samples_1x256x256x3.npz,2026-05-19T00:02:56.908830+00:00,vittorialanzo/windowed-minority-guidance-extended,17
early_seed29,minority-early,early,0,333,3.5,29,1,0.11461389809846878,2.1661863327026367,84.18950748443604,/kaggle/working/minority-guidance/results/early_seed29/samples_1x256x256x3.npz,2026-05-19T00:04:26.620742+00:00,vittorialanzo/windowed-minority-guidance-extended,17
mid_seed29,minority-mid,mid,333,667,3.5,29,1,0.2325877994298935,1.458487629890442,84.38178491592407,/kaggle/working/minority-guidance/results/mid_seed29/samples_1x256x256x3.npz,2026-05-19T00:05:56.530522+00:00,vittorialanzo/windowed-minority-guidance-extended,17
late_seed29,minority-late,late,667,1000,3.5,29,1,0.00014448104775510728,8.842362403869629,84.31231164932251,/kaggle/working/minority-guidance/results/late_seed29/samples_1x256x256x3.npz,2026-05-19T00:07:26.422963+00:00,vittorialanzo/windowed-minority-guidance-extended,17
